Transcript stable ID	Gene stable ID version	Transcript stable ID version
ENSMPUT00000000002	ENSMPUG00000000002.1	ENSMPUT00000000002.1
ENSMPUT00000000003	ENSMPUG00000000003.1	ENSMPUT00000000003.1
ENSMPUT00000000004	ENSMPUG00000000004.1	ENSMPUT00000000004.1
ENSMPUT00000000005	ENSMPUG00000000005.1	ENSMPUT00000000005.1
ENSMPUT00000000006	ENSMPUG00000000006.1	ENSMPUT00000000006.1
ENSMPUT00000000007	ENSMPUG00000000007.1	ENSMPUT00000000007.1
ENSMPUT00000000008	ENSMPUG00000000008.1	ENSMPUT00000000008.1
ENSMPUT00000000009	ENSMPUG00000000009.1	ENSMPUT00000000009.1
ENSMPUT00000000010	ENSMPUG00000000010.1	ENSMPUT00000000010.1
ENSMPUT00000000011	ENSMPUG00000000011.1	ENSMPUT00000000011.1
ENSMPUT00000000012	ENSMPUG00000000012.1	ENSMPUT00000000012.1
ENSMPUT00000000013	ENSMPUG00000000013.1	ENSMPUT00000000013.1
ENSMPUT00000000014	ENSMPUG00000000014.1	ENSMPUT00000000014.1
ENSMPUT00000000015	ENSMPUG00000000015.1	ENSMPUT00000000015.1
ENSMPUT00000000016	ENSMPUG00000000016.1	ENSMPUT00000000016.1
ENSMPUT00000000017	ENSMPUG00000000017.1	ENSMPUT00000000017.1
ENSMPUT00000000018	ENSMPUG00000000018.1	ENSMPUT00000000018.1
ENSMPUT00000000019	ENSMPUG00000000019.1	ENSMPUT00000000019.1
ENSMPUT00000000020	ENSMPUG00000000020.1	ENSMPUT00000000020.1
ENSMPUT00000000021	ENSMPUG00000000021.1	ENSMPUT00000000021.1
ENSMPUT00000000022	ENSMPUG00000000022.1	ENSMPUT00000000022.1
ENSMPUT00000000023	ENSMPUG00000000023.1	ENSMPUT00000000023.1
ENSMPUT00000000024	ENSMPUG00000000024.1	ENSMPUT00000000024.1
ENSMPUT00000000025	ENSMPUG00000000025.1	ENSMPUT00000000025.1
ENSMPUT00000000026	ENSMPUG00000000026.1	ENSMPUT00000000026.1
ENSMPUT00000000027	ENSMPUG00000000027.1	ENSMPUT00000000027.1
ENSMPUT00000000028	ENSMPUG00000000028.1	ENSMPUT00000000028.1
ENSMPUT00000000029	ENSMPUG00000000029.1	ENSMPUT00000000029.1
ENSMPUT00000000030	ENSMPUG00000000030.1	ENSMPUT00000000030.1
ENSMPUT00000000031	ENSMPUG00000000031.1	ENSMPUT00000000031.1
ENSMPUT00000000032	ENSMPUG00000000032.1	ENSMPUT00000000032.1
ENSMPUT00000000033	ENSMPUG00000000033.1	ENSMPUT00000000033.1
ENSMPUT00000000034	ENSMPUG00000000034.1	ENSMPUT00000000034.1
ENSMPUT00000000035	ENSMPUG00000000035.1	ENSMPUT00000000035.1
ENSMPUT00000000036	ENSMPUG00000000036.1	ENSMPUT00000000036.1
ENSMPUT00000000037	ENSMPUG00000000037.1	ENSMPUT00000000037.1
ENSMPUT00000000038	ENSMPUG00000000038.1	ENSMPUT00000000038.1
ENSMPUT00000000039	ENSMPUG00000000039.1	ENSMPUT00000000039.1
ENSMPUT00000000040	ENSMPUG00000000040.1	ENSMPUT00000000040.1
ENSMPUT00000000041	ENSMPUG00000000041.1	ENSMPUT00000000041.1
ENSMPUT00000000042	ENSMPUG00000000042.1	ENSMPUT00000000042.1
ENSMPUT00000000043	ENSMPUG00000000043.1	ENSMPUT00000000043.1
ENSMPUT00000000044	ENSMPUG00000000044.1	ENSMPUT00000000044.1
ENSMPUT00000000045	ENSMPUG00000000045.1	ENSMPUT00000000045.1
ENSMPUT00000000046	ENSMPUG00000000046.1	ENSMPUT00000000046.1
ENSMPUT00000000047	ENSMPUG00000000047.1	ENSMPUT00000000047.1
ENSMPUT00000000048	ENSMPUG00000000048.1	ENSMPUT00000000048.1
ENSMPUT00000000049	ENSMPUG00000000049.1	ENSMPUT00000000049.1
ENSMPUT00000000050	ENSMPUG00000000050.1	ENSMPUT00000000050.1
ENSMPUT00000000051	ENSMPUG00000000051.1	ENSMPUT00000000051.1
ENSMPUT00000000052	ENSMPUG00000000052.1	ENSMPUT00000000052.1
ENSMPUT00000000053	ENSMPUG00000000053.1	ENSMPUT00000000053.1
ENSMPUT00000000054	ENSMPUG00000000054.1	ENSMPUT00000000054.1
ENSMPUT00000000055	ENSMPUG00000000055.1	ENSMPUT00000000055.1
ENSMPUT00000000056	ENSMPUG00000000056.1	ENSMPUT00000000056.1
