Transcript stable ID	Gene stable ID version	Transcript stable ID version
ENSMPUT00000000591	ENSMPUG00000000585.1	ENSMPUT00000000591.1
ENSMPUT00000000882	ENSMPUG00000000870.1	ENSMPUT00000000882.1
ENSMPUT00000000882	ENSMPUG00000000870.1	ENSMPUT00000000882.1
ENSMPUT00000000908	ENSMPUG00000000896.1	ENSMPUT00000000908.1
ENSMPUT00000001688	ENSMPUG00000001670.1	ENSMPUT00000001688.1
ENSMPUT00000002017	ENSMPUG00000001995.1	ENSMPUT00000002017.1
ENSMPUT00000002248	ENSMPUG00000002226.1	ENSMPUT00000002248.1
ENSMPUT00000002467	ENSMPUG00000002444.1	ENSMPUT00000002467.1
ENSMPUT00000003013	ENSMPUG00000002982.1	ENSMPUT00000003013.1
ENSMPUT00000003362	ENSMPUG00000003329.1	ENSMPUT00000003362.1
ENSMPUT00000003362	ENSMPUG00000003329.1	ENSMPUT00000003362.1
ENSMPUT00000003687	ENSMPUG00000003649.1	ENSMPUT00000003687.1
ENSMPUT00000003916	ENSMPUG00000003877.1	ENSMPUT00000003916.1
ENSMPUT00000004856	ENSMPUG00000004812.1	ENSMPUT00000004856.1
ENSMPUT00000005209	ENSMPUG00000005160.1	ENSMPUT00000005209.1
ENSMPUT00000005386	ENSMPUG00000005336.1	ENSMPUT00000005386.1
ENSMPUT00000007044	ENSMPUG00000006985.1	ENSMPUT00000007044.1
ENSMPUT00000008893	ENSMPUG00000008820.1	ENSMPUT00000008893.1
ENSMPUT00000010149	ENSMPUG00000010064.1	ENSMPUT00000010149.1
ENSMPUT00000010471	ENSMPUG00000010381.1	ENSMPUT00000010471.1
ENSMPUT00000010832	ENSMPUG00000010741.1	ENSMPUT00000010832.1
ENSMPUT00000010884	ENSMPUG00000010793.1	ENSMPUT00000010884.1
ENSMPUT00000011253	ENSMPUG00000011159.1	ENSMPUT00000011253.1
ENSMPUT00000011956	ENSMPUG00000011856.1	ENSMPUT00000011956.1
ENSMPUT00000011956	ENSMPUG00000011856.1	ENSMPUT00000011956.1
ENSMPUT00000012719	ENSMPUG00000012611.1	ENSMPUT00000012719.1
ENSMPUT00000013787	ENSMPUG00000013673.1	ENSMPUT00000013787.1
ENSMPUT00000013840	ENSMPUG00000013726.1	ENSMPUT00000013840.1
ENSMPUT00000013840	ENSMPUG00000013726.1	ENSMPUT00000013840.1
ENSMPUT00000014156	ENSMPUG00000014041.1	ENSMPUT00000014156.1
ENSMPUT00000014547	ENSMPUG00000014426.1	ENSMPUT00000014547.1
ENSMPUT00000015283	ENSMPUG00000015155.1	ENSMPUT00000015283.1
ENSMPUT00000016658	ENSMPUG00000016516.1	ENSMPUT00000016658.1
ENSMPUT00000016658	ENSMPUG00000016516.1	ENSMPUT00000016658.1
ENSMPUT00000017117	ENSMPUG00000016972.1	ENSMPUT00000017117.1
ENSMPUT00000017967	ENSMPUG00000017818.1	ENSMPUT00000017967.1
ENSMPUT00000019528	ENSMPUG00000019376.1	ENSMPUT00000019528.1
ENSMPUT00000019528	ENSMPUG00000019376.1	ENSMPUT00000019528.1
ENSMPUT00000020285	ENSMPUG00000020133.1	ENSMPUT00000020285.1
