Transcript stable ID	Gene stable ID version	Transcript stable ID version
ENSMPUT00000000999	ENSMPUG00000000986.1	ENSMPUT00000000999.1
ENSMPUT00000001935	ENSMPUG00000001913.1	ENSMPUT00000001935.1
ENSMPUT00000001967	ENSMPUG00000001945.1	ENSMPUT00000001967.1
ENSMPUT00000001967	ENSMPUG00000001945.1	ENSMPUT00000001967.1
ENSMPUT00000002747	ENSMPUG00000002720.1	ENSMPUT00000002747.1
ENSMPUT00000002808	ENSMPUG00000002778.1	ENSMPUT00000002808.1
ENSMPUT00000002869	ENSMPUG00000002839.1	ENSMPUT00000002869.1
ENSMPUT00000002945	ENSMPUG00000002915.1	ENSMPUT00000002945.1
ENSMPUT00000002989	ENSMPUG00000002958.1	ENSMPUT00000002989.1
ENSMPUT00000002989	ENSMPUG00000002958.1	ENSMPUT00000002989.1
ENSMPUT00000003091	ENSMPUG00000003060.1	ENSMPUT00000003091.1
ENSMPUT00000003138	ENSMPUG00000003106.1	ENSMPUT00000003138.1
ENSMPUT00000003437	ENSMPUG00000003402.1	ENSMPUT00000003437.1
ENSMPUT00000003474	ENSMPUG00000003438.1	ENSMPUT00000003474.1
ENSMPUT00000003811	ENSMPUG00000003773.1	ENSMPUT00000003811.1
ENSMPUT00000004142	ENSMPUG00000004103.1	ENSMPUT00000004142.1
ENSMPUT00000004191	ENSMPUG00000004152.1	ENSMPUT00000004191.1
ENSMPUT00000004211	ENSMPUG00000004172.1	ENSMPUT00000004211.1
ENSMPUT00000004657	ENSMPUG00000004613.1	ENSMPUT00000004657.1
ENSMPUT00000004771	ENSMPUG00000004727.1	ENSMPUT00000004771.1
ENSMPUT00000005014	ENSMPUG00000004969.1	ENSMPUT00000005014.1
ENSMPUT00000005542	ENSMPUG00000005492.1	ENSMPUT00000005542.1
ENSMPUT00000005631	ENSMPUG00000005579.1	ENSMPUT00000005631.1
ENSMPUT00000006042	ENSMPUG00000005989.1	ENSMPUT00000006042.1
ENSMPUT00000006168	ENSMPUG00000006113.1	ENSMPUT00000006168.1
ENSMPUT00000006242	ENSMPUG00000006187.1	ENSMPUT00000006242.1
ENSMPUT00000006773	ENSMPUG00000006714.1	ENSMPUT00000006773.1
ENSMPUT00000007193	ENSMPUG00000007132.1	ENSMPUT00000007193.1
ENSMPUT00000007659	ENSMPUG00000007593.1	ENSMPUT00000007659.1
ENSMPUT00000008200	ENSMPUG00000008131.1	ENSMPUT00000008200.1
ENSMPUT00000008311	ENSMPUG00000008242.1	ENSMPUT00000008311.1
ENSMPUT00000008862	ENSMPUG00000008789.1	ENSMPUT00000008862.1
ENSMPUT00000009092	ENSMPUG00000009017.1	ENSMPUT00000009092.1
ENSMPUT00000009729	ENSMPUG00000009649.1	ENSMPUT00000009729.1
ENSMPUT00000010604	ENSMPUG00000010513.1	ENSMPUT00000010604.1
ENSMPUT00000011692	ENSMPUG00000011594.1	ENSMPUT00000011692.1
ENSMPUT00000011878	ENSMPUG00000011780.1	ENSMPUT00000011878.1
ENSMPUT00000011969	ENSMPUG00000011867.1	ENSMPUT00000011969.1
ENSMPUT00000012108	ENSMPUG00000012005.1	ENSMPUT00000012108.1
ENSMPUT00000012229	ENSMPUG00000012126.1	ENSMPUT00000012229.1
ENSMPUT00000012615	ENSMPUG00000012508.1	ENSMPUT00000012615.1
ENSMPUT00000013239	ENSMPUG00000013126.1	ENSMPUT00000013239.1
ENSMPUT00000013599	ENSMPUG00000013486.1	ENSMPUT00000013599.1
ENSMPUT00000013632	ENSMPUG00000013519.1	ENSMPUT00000013632.1
ENSMPUT00000014422	ENSMPUG00000014303.1	ENSMPUT00000014422.1
ENSMPUT00000014463	ENSMPUG00000014344.1	ENSMPUT00000014463.1
ENSMPUT00000014529	ENSMPUG00000014408.1	ENSMPUT00000014529.1
ENSMPUT00000014547	ENSMPUG00000014426.1	ENSMPUT00000014547.1
ENSMPUT00000014780	ENSMPUG00000014656.1	ENSMPUT00000014780.1
ENSMPUT00000014848	ENSMPUG00000014724.1	ENSMPUT00000014848.1
ENSMPUT00000014851	ENSMPUG00000014727.1	ENSMPUT00000014851.1
ENSMPUT00000015375	ENSMPUG00000015246.1	ENSMPUT00000015375.1
ENSMPUT00000015439	ENSMPUG00000015310.1	ENSMPUT00000015439.1
ENSMPUT00000015453	ENSMPUG00000015324.1	ENSMPUT00000015453.1
ENSMPUT00000015630	ENSMPUG00000015501.1	ENSMPUT00000015630.1
ENSMPUT00000015719	ENSMPUG00000015588.1	ENSMPUT00000015719.1
ENSMPUT00000015791	ENSMPUG00000015660.1	ENSMPUT00000015791.1
ENSMPUT00000016044	ENSMPUG00000015909.1	ENSMPUT00000016044.1
ENSMPUT00000016375	ENSMPUG00000016235.1	ENSMPUT00000016375.1
ENSMPUT00000016606	ENSMPUG00000016464.1	ENSMPUT00000016606.1
ENSMPUT00000016858	ENSMPUG00000016715.1	ENSMPUT00000016858.1
ENSMPUT00000016983	ENSMPUG00000016839.1	ENSMPUT00000016983.1
ENSMPUT00000016983	ENSMPUG00000016839.1	ENSMPUT00000016983.1
ENSMPUT00000017042	ENSMPUG00000016897.1	ENSMPUT00000017042.1
ENSMPUT00000017533	ENSMPUG00000017387.1	ENSMPUT00000017533.1
ENSMPUT00000017799	ENSMPUG00000017652.1	ENSMPUT00000017799.1
ENSMPUT00000018295	ENSMPUG00000018143.1	ENSMPUT00000018295.1
ENSMPUT00000018461	ENSMPUG00000018309.1	ENSMPUT00000018461.1
ENSMPUT00000018827	ENSMPUG00000018675.1	ENSMPUT00000018827.1
